name,dialog
2,"일어났군요, 아가씨."
2,이제 곧 미셀스와이트 저택에 도착할거니
2,아가씨가 가는 곳이 어떤 데인지 이야기해드리는게 좋겠군요.
2,아가씨 고모부에 대해서 아는 게 있나요?
1,...몰라요.
2,음…
2,아가씨가 미리 이야기를 좀 듣고 가는 편이 낫겠는데... 마음의 준비를 하려면 말이죠.
2,아가씨가 갈 곳은 기묘한 데거든요.
1,…
2,하지만 그 밖에는 아무것도 없어요.
1,...별로 관심 없어요. 그건 별로 중요하지 않은 것 같아요.
2,아가씨 말이 옳군요. 그건 중요하지 않아요.
2,대개 주인님은 아가씨한테 신경쓰지 않을 거예요. 주인님은 자기 자신말고 딴 사람 일에 마음을 쓰는 분이 아니니까.
1,…
2,그분은 등이 굽으셨어요. 그래서 좀 괴팍해지셨죠.
2,"마님을 만나고 나서는 조금 나아졌지만, 마님이 돌아가시자.."
1,어머! 부인이 죽었다고요?
2,"그래요, 마님이 돌아가시자, 주인님은 전보다도 더 괴팍한 분이 되었죠."
2,"사람도 많나려하지 않으시고, 대부분 밖에서 지내세요."
2,간혹 집에 돌아오시더라도 저택 서쪽에 틀어박혀서 몇몇 사람 말고는 만나려 하지 않으세요.
2,그러니 주인님을 만날 거라고 기대하지 말아요. 십중팔구는 아가씨를 만나지 않으실 테니까요.
2,"아가씨는 그 근처에서 놀아야하고, 이제 자기가 할 일은 알아서 해야 해요. "
2,집안에 있을 때에는 여기저기 돌아다니면서 기웃거리지 말아요. 그런 짓을 하면 주인님이 가만두지 않으실거에요.
1,그런데라면 여기저기 돌아다닐 마음도 없을 거예요.
